id,timestamp,source,source_file,line_number,severity,status,phase,message,notes,raw_event_count,dedup_key
a12e9f5e1b68cf28,2026-06-14 09:15:00.000,log,app.log,1,INFO,待确认,故障前,"Application started successfully, version=2.3.1",,1,c7c61f3fdc9aee8c
a548a1c34b2bca9c,2026-06-14 09:15:00.000,note,notes.json,1,INFO,待确认,故障前,日常流量低谷期，系统正常运行,,1,aa34347a7f787afc
62bf677a96a633a0,2026-06-14 09:15:30.000,log,app.log,2,DEBUG,待确认,故障前,Loading configuration from /etc/app/config.yaml,,1,ebd193c43c226144
fbe2be1aa4a76934,2026-06-14 09:16:45.000,log,app.log,3,INFO,待确认,故障前,Database connection pool initialized with 20 connections,,1,9e2d9f7619f57b05
7b212b8c15eee719,2026-06-14 09:30:00.000,note,notes.json,2,INFO,待确认,故障前,运维人员：注意到内存使用缓慢上升，决定持续观察,,1,bc2d0c179e75f363
11304440b62afe9b,2026-06-14 09:30:12.000,log,app.log,4,WARNING,待确认,故障前,High memory usage detected: 85%,,1,cc2cdba79a3ca06c
e8a960a9183dd894,2026-06-14 09:30:15.000,alert,alerts.csv,2,WARNING,待确认,故障前,Memory usage exceeds 80% threshold,,1,d3c5753cd1156c69
470c829bc289a567,2026-06-14 09:32:45.000,log,app.log,5,INFO,待确认,故障前,"User authentication successful, user_id=10086",,1,809d28b2e0b1bb10
b3cb2da3c2ae6e3b,2026-06-14 09:45:30.000,log,app.log,6,ERROR,噪声,故障中,"Failed to connect to payment gateway, timeout after 30s",重复的超时日志，噪声,2,e1fae395a37ef10c
35b0acbda155aedf,2026-06-14 09:45:30.000,alert,alerts.csv,3,ERROR,待确认,故障中,Payment gateway timeout,,3,efb32cca49c2d6a6
e1c363964e2bd68a,2026-06-14 09:45:30.000,note,notes.json,3,ERROR,待确认,故障中,支付网关开始报超时错误，已通知值班工程师排查,值班工程师第一时间响应,1,4b1bcf7f734a5e89
128d54dd4c4d6f86,2026-06-14 09:45:31.000,log,app.log,7,ERROR,已确认,故障中,Payment service returned 500 Internal Server Error for order #20260614001,500错误已确认,2,86ab61b36dc09612
02df1e4faa30aadc,2026-06-14 09:45:35.000,alert,alerts.csv,5,CRITICAL,根因,故障中,500 error rate > 5% for payment API,高错误率告警，根因是第三方支付问题,1,424b1ab50bcfb910
66e8ab15bfad443c,2026-06-14 09:45:40.000,log,app.log,9,WARNING,待确认,故障中,"Retrying payment for order #20260614001, attempt 2",,1,bc19b9525db8e0a7
a27661f097afddda,2026-06-14 09:45:42.000,alert,alerts.csv,7,ERROR,待确认,故障中,Circuit breaker half-open state reached,,1,dee8868486e08340
3188353c103be5f2,2026-06-14 09:46:00.000,log,app.log,11,CRITICAL,待确认,故障中,"Payment processing completely unavailable, affecting 15 pending orders",,1,9c9186b63416e35b
6e5d4bdb7d4c093d,2026-06-14 09:46:00.000,alert,alerts.csv,8,CRITICAL,待确认,故障中,Payment processing unavailable for 30s,,1,4a21a563190c681b
8b9c90251275077d,2026-06-14 09:46:00.000,note,notes.json,4,CRITICAL,待确认,故障中,初步判断为上游第三方支付接口异常，非我方服务问题,,1,a7e4c31842743a18
2f9654e712129420,2026-06-14 09:46:05.000,alert,alerts.csv,9,CRITICAL,待确认,故障中,Circuit breaker OPEN for payment-service,,1,0216efdc33d52c76
85c87808bbebbff5,2026-06-14 09:46:15.000,log,app.log,12,INFO,待确认,故障中,Circuit breaker opened for payment-service,,1,eae38c211fc1f384
9bc1fdc2bf1a1ccb,2026-06-14 09:50:00.000,log,app.log,13,WARNING,待确认,故障中,Database query latency increased: avg=850ms,,1,9dc584f23a4a9ab7
